Source,Target,Weight
An Offer You Can't Refuse,"Firkraag, Cunning Instigator",{'weight': 5}
An Offer You Can't Refuse,Arcane Denial,{'weight': 3}
An Offer You Can't Refuse,Arcane Signet,{'weight': 4}
An Offer You Can't Refuse,Bident of Thassa,{'weight': 4}
An Offer You Can't Refuse,Blasphemous Act,{'weight': 3}
An Offer You Can't Refuse,Blast-Furnace Hellkite,{'weight': 2}
An Offer You Can't Refuse,Bloodthirsty Blade,{'weight': 4}
An Offer You Can't Refuse,Brainstorm,{'weight': 1}
An Offer You Can't Refuse,Carnelian Orb of Dragonkind,{'weight': 2}
An Offer You Can't Refuse,Cascade Bluffs,{'weight': 3}
An Offer You Can't Refuse,Cavern-Hoard Dragon,{'weight': 2}
An Offer You Can't Refuse,Chain Reaction,{'weight': 2}
An Offer You Can't Refuse,Chaos Dragon,{'weight': 4}
An Offer You Can't Refuse,Chaos Warp,{'weight': 4}
An Offer You Can't Refuse,Command Tower,{'weight': 4}
An Offer You Can't Refuse,Coronation of Chaos,{'weight': 1}
An Offer You Can't Refuse,Counterspell,{'weight': 4}
An Offer You Can't Refuse,Curse of the Swine,{'weight': 2}
An Offer You Can't Refuse,Disrupt Decorum,{'weight': 4}
An Offer You Can't Refuse,Draconic Lore,{'weight': 1}
An Offer You Can't Refuse,Dragon Tempest,{'weight': 1}
An Offer You Can't Refuse,Dragon's Hoard,{'weight': 4}
An Offer You Can't Refuse,Dragonlord's Servant,{'weight': 3}
An Offer You Can't Refuse,Dragonspeaker Shaman,{'weight': 3}
An Offer You Can't Refuse,Fabled Passage,{'weight': 1}
An Offer You Can't Refuse,Feywild Visitor,{'weight': 1}
An Offer You Can't Refuse,Fiery Islet,{'weight': 2}
An Offer You Can't Refuse,Frantic Search,{'weight': 1}
An Offer You Can't Refuse,Frostboil Snarl,{'weight': 2}
An Offer You Can't Refuse,"Gloin, Dwarf Emissary",{'weight': 1}
An Offer You Can't Refuse,Goblin Spymaster,{'weight': 5}
An Offer You Can't Refuse,Guff Rewrites History,{'weight': 1}
An Offer You Can't Refuse,Haven of the Spirit Dragon,{'weight': 2}
An Offer You Can't Refuse,Illusionist's Gambit,{'weight': 3}
An Offer You Can't Refuse,Invasion of Tarkir,{'weight': 1}
An Offer You Can't Refuse,"Iymrith, Desert Doom",{'weight': 2}
An Offer You Can't Refuse,Jeska's Will,{'weight': 2}
An Offer You Can't Refuse,Lapis Orb of Dragonkind,{'weight': 1}
An Offer You Can't Refuse,Life of the Party,{'weight': 2}
An Offer You Can't Refuse,Lightning Greaves,{'weight': 4}
An Offer You Can't Refuse,Loot Dispute,{'weight': 1}
An Offer You Can't Refuse,Mithril Coat,{'weight': 2}
An Offer You Can't Refuse,Mocking Doppelganger,{'weight': 3}
An Offer You Can't Refuse,Negate,{'weight': 1}
An Offer You Can't Refuse,"Niv-Mizzet, Parun",{'weight': 1}
An Offer You Can't Refuse,Orb of Dragonkind,{'weight': 2}
An Offer You Can't Refuse,Path of Ancestry,{'weight': 4}
An Offer You Can't Refuse,Popular Entertainer,{'weight': 2}
An Offer You Can't Refuse,Propaganda,{'weight': 3}
An Offer You Can't Refuse,Public Enemy,{'weight': 3}
An Offer You Can't Refuse,Reliquary Tower,{'weight': 4}
An Offer You Can't Refuse,Renegade Silent,{'weight': 2}
An Offer You Can't Refuse,Rivendell,{'weight': 1}
An Offer You Can't Refuse,Riverglide Pathway,{'weight': 3}
An Offer You Can't Refuse,"Sarkhan, Soul Aflame",{'weight': 3}
An Offer You Can't Refuse,Shiny Impetus,{'weight': 5}
An Offer You Can't Refuse,Shivan Devastator,{'weight': 1}
An Offer You Can't Refuse,Shivan Reef,{'weight': 4}
An Offer You Can't Refuse,Sol Ring,{'weight': 5}
An Offer You Can't Refuse,Spectacular Showdown,{'weight': 2}
An Offer You Can't Refuse,Spit Flame,{'weight': 1}
An Offer You Can't Refuse,Spiteful Banditry,{'weight': 1}
An Offer You Can't Refuse,Sprite Dragon,{'weight': 3}
An Offer You Can't Refuse,Steam Vents,{'weight': 4}
An Offer You Can't Refuse,Steel Hellkite,{'weight': 2}
An Offer You Can't Refuse,Stormcarved Coast,{'weight': 3}
An Offer You Can't Refuse,Sulfur Falls,{'weight': 3}
An Offer You Can't Refuse,Swiftfoot Boots,{'weight': 3}
An Offer You Can't Refuse,Sword of the Animist,{'weight': 1}
An Offer You Can't Refuse,Talisman of Creativity,{'weight': 4}
An Offer You Can't Refuse,Terrain Generator,{'weight': 1}
An Offer You Can't Refuse,Territorial Hellkite,{'weight': 3}
An Offer You Can't Refuse,The Sound of Drums,{'weight': 2}
An Offer You Can't Refuse,Thought Vessel,{'weight': 2}
An Offer You Can't Refuse,Thunderbreak Regent,{'weight': 3}
An Offer You Can't Refuse,Training Center,{'weight': 3}
An Offer You Can't Refuse,Vengeful Ancestor,{'weight': 3}
An Offer You Can't Refuse,Wayfarer's Bauble,{'weight': 1}
An Offer You Can't Refuse,Abrade,{'weight': 1}
An Offer You Can't Refuse,Agitator Ant,{'weight': 3}
An Offer You Can't Refuse,Ancient Silver Dragon,{'weight': 1}
An Offer You Can't Refuse,Astral Dragon,{'weight': 2}
An Offer You Can't Refuse,"Atsushi, the Blazing Sky",{'weight': 1}
An Offer You Can't Refuse,Bothersome Quasit,{'weight': 3}
An Offer You Can't Refuse,Crucible of the Spirit Dragon,{'weight': 1}
An Offer You Can't Refuse,Curiosity,{'weight': 2}
An Offer You Can't Refuse,Curse of Opulence,{'weight': 3}
An Offer You Can't Refuse,Curse of Verbosity,{'weight': 3}
An Offer You Can't Refuse,Dragon Turtle,{'weight': 1}
An Offer You Can't Refuse,Dragonborn Looter,{'weight': 1}
An Offer You Can't Refuse,Dragonmaster Outcast,{'weight': 2}
An Offer You Can't Refuse,"Drakuseth, Maw of Flames",{'weight': 1}
An Offer You Can't Refuse,Ferrous Lake,{'weight': 1}
An Offer You Can't Refuse,Galazeth Prismari,{'weight': 1}
An Offer You Can't Refuse,"Ganax, Astral Hunter",{'weight': 1}
An Offer You Can't Refuse,Geode Rager,{'weight': 1}
An Offer You Can't Refuse,Herald's Horn,{'weight': 1}
An Offer You Can't Refuse,Izzet Signet,{'weight': 2}
An Offer You Can't Refuse,"Keiga, the Tide Star",{'weight': 2}
An Offer You Can't Refuse,Kindred Discovery,{'weight': 2}
