Id,Label
An Offer You Can't Refuse,An Offer You Can't Refuse
"Firkraag, Cunning Instigator","Firkraag, Cunning Instigator"
Arcane Denial,Arcane Denial
Arcane Signet,Arcane Signet
Bident of Thassa,Bident of Thassa
Blasphemous Act,Blasphemous Act
Blast-Furnace Hellkite,Blast-Furnace Hellkite
Bloodthirsty Blade,Bloodthirsty Blade
Brainstorm,Brainstorm
Carnelian Orb of Dragonkind,Carnelian Orb of Dragonkind
Cascade Bluffs,Cascade Bluffs
Cavern-Hoard Dragon,Cavern-Hoard Dragon
Chain Reaction,Chain Reaction
Chaos Dragon,Chaos Dragon
Chaos Warp,Chaos Warp
Command Tower,Command Tower
Coronation of Chaos,Coronation of Chaos
Counterspell,Counterspell
Curse of the Swine,Curse of the Swine
Disrupt Decorum,Disrupt Decorum
Draconic Lore,Draconic Lore
Dragon Tempest,Dragon Tempest
Dragon's Hoard,Dragon's Hoard
Dragonlord's Servant,Dragonlord's Servant
Dragonspeaker Shaman,Dragonspeaker Shaman
Fabled Passage,Fabled Passage
Feywild Visitor,Feywild Visitor
Fiery Islet,Fiery Islet
Frantic Search,Frantic Search
Frostboil Snarl,Frostboil Snarl
"Gloin, Dwarf Emissary","Gloin, Dwarf Emissary"
Goblin Spymaster,Goblin Spymaster
Guff Rewrites History,Guff Rewrites History
Haven of the Spirit Dragon,Haven of the Spirit Dragon
Illusionist's Gambit,Illusionist's Gambit
Invasion of Tarkir,Invasion of Tarkir
"Iymrith, Desert Doom","Iymrith, Desert Doom"
Jeska's Will,Jeska's Will
Lapis Orb of Dragonkind,Lapis Orb of Dragonkind
Life of the Party,Life of the Party
Lightning Greaves,Lightning Greaves
Loot Dispute,Loot Dispute
Mithril Coat,Mithril Coat
Mocking Doppelganger,Mocking Doppelganger
Negate,Negate
"Niv-Mizzet, Parun","Niv-Mizzet, Parun"
Orb of Dragonkind,Orb of Dragonkind
Path of Ancestry,Path of Ancestry
Popular Entertainer,Popular Entertainer
Propaganda,Propaganda
Public Enemy,Public Enemy
Reliquary Tower,Reliquary Tower
Renegade Silent,Renegade Silent
Rivendell,Rivendell
Riverglide Pathway,Riverglide Pathway
"Sarkhan, Soul Aflame","Sarkhan, Soul Aflame"
Shiny Impetus,Shiny Impetus
Shivan Devastator,Shivan Devastator
Shivan Reef,Shivan Reef
Sol Ring,Sol Ring
Spectacular Showdown,Spectacular Showdown
Spit Flame,Spit Flame
Spiteful Banditry,Spiteful Banditry
Sprite Dragon,Sprite Dragon
Steam Vents,Steam Vents
Steel Hellkite,Steel Hellkite
Stormcarved Coast,Stormcarved Coast
Sulfur Falls,Sulfur Falls
Swiftfoot Boots,Swiftfoot Boots
Sword of the Animist,Sword of the Animist
Talisman of Creativity,Talisman of Creativity
Terrain Generator,Terrain Generator
Territorial Hellkite,Territorial Hellkite
The Sound of Drums,The Sound of Drums
Thought Vessel,Thought Vessel
Thunderbreak Regent,Thunderbreak Regent
Training Center,Training Center
Vengeful Ancestor,Vengeful Ancestor
Wayfarer's Bauble,Wayfarer's Bauble
Aether Gale,Aether Gale
Agitator Ant,Agitator Ant
Ash Barrens,Ash Barrens
Astral Dragon,Astral Dragon
"Baeloth Barrityl, Entertainer","Baeloth Barrityl, Entertainer"
Bothersome Quasit,Bothersome Quasit
Brash Taunter,Brash Taunter
Castle Vantress,Castle Vantress
Compulsive Research,Compulsive Research
Curse of Opulence,Curse of Opulence
Curse of Verbosity,Curse of Verbosity
Death Kiss,Death Kiss
Desolate Lighthouse,Desolate Lighthouse
Dissipation Field,Dissipation Field
Domineering Will,Domineering Will
"Drakuseth, Maw of Flames","Drakuseth, Maw of Flames"
"Edgin, Larcenous Lutenist","Edgin, Larcenous Lutenist"
Fellwar Stone,Fellwar Stone
Geode Rager,Geode Rager
Izzet Boilerworks,Izzet Boilerworks
Izzet Signet,Izzet Signet
"Kazuul, Tyrant of the Cliffs","Kazuul, Tyrant of the Cliffs"
"Keiga, the Tide Star","Keiga, the Tide Star"
Komainu Battle Armor,Komainu Battle Armor
"Lathliss, Dragon Queen","Lathliss, Dragon Queen"
Midnight Clock,Midnight Clock
Mind Stone,Mind Stone
Myriad Landscape,Myriad Landscape
Prismari Campus,Prismari Campus
Psychic Impetus,Psychic Impetus
Reins of Power,Reins of Power
Rowan Kenrith,Rowan Kenrith
"Ryusei, the Falling Star","Ryusei, the Falling Star"
Sly Instigator,Sly Instigator
Solemn Simulacrum,Solemn Simulacrum
Temple of Epiphany,Temple of Epiphany
Temple of the False God,Temple of the False God
The Akroan War,The Akroan War
Wandering Fumarole,Wandering Fumarole
Warmonger Hellkite,Warmonger Hellkite
Big Score,Big Score
Clan Crafter,Clan Crafter
"Ganax, Astral Hunter","Ganax, Astral Hunter"
"Grenzo, Havoc Raiser","Grenzo, Havoc Raiser"
"Lozhan, Dragons' Legacy","Lozhan, Dragons' Legacy"
"Magda, the Hoardmaster","Magda, the Hoardmaster"
Rain of Riches,Rain of Riches
Reality Shift,Reality Shift
Seize the Spoils,Seize the Spoils
Spark Double,Spark Double
Sticky Fingers,Sticky Fingers
The Key to the Vault,The Key to the Vault
Unexpected Windfall,Unexpected Windfall
Wrathful Red Dragon,Wrathful Red Dragon
Ancient Copper Dragon,Ancient Copper Dragon
Ancient Silver Dragon,Ancient Silver Dragon
"Atsushi, the Blazing Sky","Atsushi, the Blazing Sky"
Balefire Dragon,Balefire Dragon
Bonehoard Dracosaur,Bonehoard Dracosaur
Cavern of Souls,Cavern of Souls
Consecrated Sphinx,Consecrated Sphinx
Cyclonic Rift,Cyclonic Rift
Deflecting Swat,Deflecting Swat
Fierce Guardianship,Fierce Guardianship
Flamekin Village,Flamekin Village
Goldspan Dragon,Goldspan Dragon
Hellkite Tyrant,Hellkite Tyrant
Invert Polarity,Invert Polarity
Kindred Discovery,Kindred Discovery
"Maeve, Insidious Singer","Maeve, Insidious Singer"
Molten Tributary,Molten Tributary
Mystic Remora,Mystic Remora
Mystic Sanctuary,Mystic Sanctuary
Pemmin's Aura,Pemmin's Aura
Raise the Palisade,Raise the Palisade
Reflecting Pool,Reflecting Pool
Rhystic Study,Rhystic Study
Roaming Throne,Roaming Throne
Scalding Tarn,Scalding Tarn
Scourge of the Throne,Scourge of the Throne
Sea Gate Restoration,Sea Gate Restoration
Spirebluff Canal,Spirebluff Canal
Struggle for Project Purity,Struggle for Project Purity
Taurean Mauler,Taurean Mauler
Terror of the Peaks,Terror of the Peaks
The One Ring,The One Ring
Three Steps Ahead,Three Steps Ahead
Witness Protection,Witness Protection
Wyll's Reversal,Wyll's Reversal
Abrade,Abrade
Crucible of the Spirit Dragon,Crucible of the Spirit Dragon
Curiosity,Curiosity
Dragon Turtle,Dragon Turtle
Dragonborn Looter,Dragonborn Looter
Dragonmaster Outcast,Dragonmaster Outcast
Ferrous Lake,Ferrous Lake
Galazeth Prismari,Galazeth Prismari
Herald's Horn,Herald's Horn
Reconnaissance Mission,Reconnaissance Mission
Return the Favor,Return the Favor
Rogue's Passage,Rogue's Passage
Scourge of Valkas,Scourge of Valkas
Thundering Falls,Thundering Falls
Vandalblast,Vandalblast
Anger,Anger
Blaze,Blaze
Bone to Ash,Bone to Ash
Burnished Hart,Burnished Hart
Crucible of Fire,Crucible of Fire
Den of the Bugbear,Den of the Bugbear
Direct Current,Direct Current
Dispel,Dispel
Glorybringer,Glorybringer
Hedron Archive,Hedron Archive
Hoarding Dragon,Hoarding Dragon
Hunted Dragon,Hunted Dragon
Kher Keep,Kher Keep
Maskwood Nexus,Maskwood Nexus
Murktide Regent,Murktide Regent
Stormbreath Dragon,Stormbreath Dragon
Thundermaw Hellkite,Thundermaw Hellkite
Urza's Rage,Urza's Rage
Angler Turtle,Angler Turtle
Avatar of Slaughter,Avatar of Slaughter
Dragon Cultist,Dragon Cultist
Dragon's Fire,Dragon's Fire
Dulcet Sirens,Dulcet Sirens
Feywild Caretaker,Feywild Caretaker
Goblin Diplomats,Goblin Diplomats
"Livaan, Cultist of Tiamat","Livaan, Cultist of Tiamat"
Manaform Hellkite,Manaform Hellkite
Monastery Siege,Monastery Siege
"Renari, Merchant of Marvels","Renari, Merchant of Marvels"
Sarkhan the Masterless,Sarkhan the Masterless
Skyline Despot,Skyline Despot
Unclaimed Territory,Unclaimed Territory
Willbreaker,Willbreaker
Aetherize,Aetherize
Aetherspouts,Aetherspouts
"Bitterthorn, Nissa's Animus","Bitterthorn, Nissa's Animus"
Commander's Plate,Commander's Plate
Decanter of Endless Water,Decanter of Endless Water
Expressive Iteration,Expressive Iteration
Faerie Mastermind,Faerie Mastermind
Labyrinth of Skophos,Labyrinth of Skophos
Leyline Tyrant,Leyline Tyrant
March of Swirling Mist,March of Swirling Mist
Maze of Ith,Maze of Ith
Narset's Reversal,Narset's Reversal
Plaza of Heroes,Plaza of Heroes
Professional Face-Breaker,Professional Face-Breaker
"Ragavan, Nimble Pilferer","Ragavan, Nimble Pilferer"
"Slicer, Hired Muscle","Slicer, Hired Muscle"
Sulfuric Vortex,Sulfuric Vortex
Sword of Hearth and Home,Sword of Hearth and Home
Tale's End,Tale's End
Thaumatic Compass,Thaumatic Compass
The Reaver Cleaver,The Reaver Cleaver
There and Back Again,There and Back Again
Treasure Nabber,Treasure Nabber
War's Toll,War's Toll
Corporeal Projection,Corporeal Projection
Coveted Peacock,Coveted Peacock
Day of the Moon,Day of the Moon
Fell Beast's Shriek,Fell Beast's Shriek
Fire Diamond,Fire Diamond
Havoc Eater,Havoc Eater
Hot Pursuit,Hot Pursuit
Mana Crypt,Mana Crypt
"Otawara, Soaring City","Otawara, Soaring City"
Preordain,Preordain
Reflections of Littjara,Reflections of Littjara
Scavenger Grounds,Scavenger Grounds
Taunting Kobold,Taunting Kobold
Utvara Hellkite,Utvara Hellkite
Whispersilk Cloak,Whispersilk Cloak
Wild Magic Surge,Wild Magic Surge
Windfall,Windfall
"Alexios, Deimos of Kosmos","Alexios, Deimos of Kosmos"
Ancient Tomb,Ancient Tomb
Arid Mesa,Arid Mesa
Blood Moon,Blood Moon
Bloodstained Mire,Bloodstained Mire
Bribery,Bribery
Chalice of the Void,Chalice of the Void
Chrome Mox,Chrome Mox
City of Brass,City of Brass
City of Traitors,City of Traitors
Crystal Vein,Crystal Vein
Cursed Totem,Cursed Totem
Damping Matrix,Damping Matrix
Disruptor Flute,Disruptor Flute
Dockside Extortionist,Dockside Extortionist
Dress Down,Dress Down
Eagle Vision,Eagle Vision
Eidolon of the Great Revel,Eidolon of the Great Revel
Flooded Strand,Flooded Strand
Flusterstorm,Flusterstorm
Force of Negation,Force of Negation
Force of Will,Force of Will
Gamble,Gamble
Gemstone Caverns,Gemstone Caverns
Gilded Drake,Gilded Drake
Grafdigger's Cage,Grafdigger's Cage
Grim Monolith,Grim Monolith
Harbinger of the Seas,Harbinger of the Seas
Imperial Recruiter,Imperial Recruiter
Jeweled Lotus,Jeweled Lotus
"Karn, the Great Creator","Karn, the Great Creator"
Lightning Bolt,Lightning Bolt
Lotus Petal,Lotus Petal
Magebane Lizard,Magebane Lizard
Magus of the Moon,Magus of the Moon
Mana Confluence,Mana Confluence
Mana Vault,Mana Vault
Mental Misstep,Mental Misstep
"Minamo, School at Water's Edge","Minamo, School at Water's Edge"
Mindbreak Trap,Mindbreak Trap
Misdirection,Misdirection
Misty Rainforest,Misty Rainforest
Mox Diamond,Mox Diamond
Mox Opal,Mox Opal
Null Rod,Null Rod
Phantasmal Image,Phantasmal Image
Phyrexian Metamorph,Phyrexian Metamorph
Planar Chaos,Planar Chaos
Polluted Delta,Polluted Delta
Pongify,Pongify
Prismatic Vista,Prismatic Vista
Pyroblast,Pyroblast
Pyrokinesis,Pyrokinesis
Pyrostatic Pillar,Pyrostatic Pillar
Rapid Hybridization,Rapid Hybridization
Reckless Handling,Reckless Handling
Red Elemental Blast,Red Elemental Blast
Rite of Flame,Rite of Flame
Roiling Vortex,Roiling Vortex
Rug of Smothering,Rug of Smothering
Saprazzan Skerry,Saprazzan Skerry
Seething Song,Seething Song
Simian Spirit Guide,Simian Spirit Guide
Spellshock,Spellshock
Spire of Industry,Spire of Industry
Swan Song,Swan Song
Trinisphere,Trinisphere
Volatile Stormdrake,Volatile Stormdrake
Volcanic Island,Volcanic Island
Winter Moon,Winter Moon
Wooded Foothills,Wooded Foothills
